simtime, targetX, targetY,  targetZ, currentX, currentY, currentZ
0.25,2554.6,1108.01,1222,0,353.82,1340
0.5,2554.6,1108.01,1222,0.402287,353.939,1339.98
0.75,2554.6,1108.01,1222,0.402287,353.939,1339.98
1,2554.6,1108.01,1222,0.804573,354.058,1339.96
1.25,2554.6,1108.01,1222,0.804573,354.058,1339.96
1.5,2554.6,1108.01,1222,1.20686,354.176,1339.94
1.75,2554.6,1108.01,1222,1.20686,354.176,1339.94
2,2554.6,1108.01,1222,1.60915,354.295,1339.93
2.25,2554.6,1108.01,1222,1.60915,354.295,1339.93
2.5,2554.6,1108.01,1222,2.01143,354.414,1339.91
2.75,2554.6,1108.01,1222,2.01143,354.414,1339.91
3,2554.6,1108.01,1222,2.41372,354.533,1339.89
3.25,2554.6,1108.01,1222,2.41372,354.533,1339.89
3.5,2554.6,1108.01,1222,2.81601,354.651,1339.87
3.75,2554.6,1108.01,1222,2.81601,354.651,1339.87
4,2554.6,1108.01,1222,3.21829,354.77,1339.85
4.25,2554.6,1108.01,1222,3.21829,354.77,1339.85
4.5,2554.6,1108.01,1222,3.62058,354.889,1339.83
4.75,2554.6,1108.01,1222,3.62058,354.889,1339.83
5,2554.6,1108.01,1222,4.02287,355.008,1339.81
5.25,2554.6,1108.01,1222,4.02287,355.008,1339.81
5.5,2554.6,1108.01,1222,4.42515,355.126,1339.8
5.75,2554.6,1108.01,1222,4.42515,355.126,1339.8
6,2554.6,1108.01,1222,4.82744,355.245,1339.78
6.25,2554.6,1108.01,1222,4.82744,355.245,1339.78
6.5,2554.6,1108.01,1222,5.22973,355.364,1339.76
6.75,2554.6,1108.01,1222,5.22973,355.364,1339.76
7,2554.6,1108.01,1222,5.63201,355.483,1339.74
7.25,2554.6,1108.01,1222,5.63201,355.483,1339.74
7.5,2554.6,1108.01,1222,6.0343,355.601,1339.72
7.75,2554.6,1108.01,1222,6.0343,355.601,1339.72
8,2554.6,1108.01,1222,6.43658,355.72,1339.7
8.25,2554.6,1108.01,1222,6.43658,355.72,1339.7
8.5,2554.6,1108.01,1222,6.83887,355.839,1339.68
8.75,2554.6,1108.01,1222,6.83887,355.839,1339.68
9,2554.6,1108.01,1222,7.24116,355.958,1339.67
9.25,2554.6,1108.01,1222,7.24116,355.958,1339.67
9.5,2554.6,1108.01,1222,7.64344,356.077,1339.65
9.75,2554.6,1108.01,1222,7.64344,356.077,1339.65
10,2554.6,1108.01,1222,8.04573,356.195,1339.63
10.25,2554.6,1108.01,1222,8.04573,356.195,1339.63
10.5,2554.6,1108.01,1222,8.44802,356.314,1339.61
10.75,2554.6,1108.01,1222,8.44802,356.314,1339.61
11,2554.6,1108.01,1222,8.8503,356.433,1339.59
11.25,2554.6,1108.01,1222,8.8503,356.433,1339.59
11.5,2554.6,1108.01,1222,9.25259,356.552,1339.57
11.75,2554.6,1108.01,1222,9.25259,356.552,1339.57
12,2554.6,1108.01,1222,9.65488,356.67,1339.55
12.25,2554.6,1108.01,1222,9.65488,356.67,1339.55
12.5,2554.6,1108.01,1222,10.0572,356.789,1339.54
12.75,2554.6,1108.01,1222,10.0572,356.789,1339.54
13,2554.6,1108.01,1222,10.4595,356.908,1339.52
13.25,2554.6,1108.01,1222,10.4595,356.908,1339.52
13.5,2554.6,1108.01,1222,10.8617,357.027,1339.5
13.75,2554.6,1108.01,1222,10.8617,357.027,1339.5
14,2554.6,1108.01,1222,11.264,357.145,1339.48
14.25,2554.6,1108.01,1222,11.264,357.145,1339.48
14.5,2554.6,1108.01,1222,11.6663,357.264,1339.46
14.75,2554.6,1108.01,1222,11.6663,357.264,1339.46
15,2554.6,1108.01,1222,12.0686,357.383,1339.44
15.25,2554.6,1108.01,1222,12.0686,357.383,1339.44
15.5,2554.6,1108.01,1222,12.4709,357.502,1339.42
15.75,2554.6,1108.01,1222,12.4709,357.502,1339.42
16,2554.6,1108.01,1222,12.8732,357.621,1339.41
16.25,2554.6,1108.01,1222,12.8732,357.621,1339.41
16.5,2554.6,1108.01,1222,13.2755,357.739,1339.39
16.75,2554.6,1108.01,1222,13.2755,357.739,1339.39
17,2554.6,1108.01,1222,13.6777,357.858,1339.37
17.25,2554.6,1108.01,1222,13.6777,357.858,1339.37
17.5,2554.6,1108.01,1222,14.08,357.977,1339.35
17.75,2554.6,1108.01,1222,14.08,357.977,1339.35
18,2554.6,1108.01,1222,14.4823,358.096,1339.33
18.25,2554.6,1108.01,1222,14.4823,358.096,1339.33
18.5,2554.6,1108.01,1222,14.8846,358.214,1339.31
18.75,2554.6,1108.01,1222,14.8846,358.214,1339.31
19,2554.6,1108.01,1222,15.2869,358.333,1339.29
19.25,2554.6,1108.01,1222,15.2869,358.333,1339.29
19.5,2554.6,1108.01,1222,15.6892,358.452,1339.28
19.75,2554.6,1108.01,1222,15.6892,358.452,1339.28
20,2554.6,1108.01,1222,16.0915,358.571,1339.26
20.25,2554.6,1108.01,1222,16.0915,358.571,1339.26
20.5,2554.6,1108.01,1222,16.4937,358.689,1339.24
20.75,2554.6,1108.01,1222,16.4937,358.689,1339.24
21,2554.6,1108.01,1222,16.896,358.808,1339.22
21.25,2554.6,1108.01,1222,16.896,358.808,1339.22
21.5,2554.6,1108.01,1222,17.2983,358.927,1339.2
21.75,2554.6,1108.01,1222,17.2983,358.927,1339.2
22,2554.6,1108.01,1222,17.7006,359.046,1339.18
22.25,2554.6,1108.01,1222,17.7006,359.046,1339.18
22.5,2554.6,1108.01,1222,18.1029,359.164,1339.16
22.75,2554.6,1108.01,1222,18.1029,359.164,1339.16
23,2554.6,1108.01,1222,18.5052,359.283,1339.15
23.25,2554.6,1108.01,1222,18.5052,359.283,1339.15
23.5,2554.6,1108.01,1222,18.9075,359.402,1339.13
23.75,2554.6,1108.01,1222,18.9075,359.402,1339.13
24,2554.6,1108.01,1222,19.3098,359.521,1339.11
24.25,2554.6,1108.01,1222,19.3098,359.521,1339.11
24.5,2554.6,1108.01,1222,19.712,359.64,1339.09
24.75,2554.6,1108.01,1222,19.712,359.64,1339.09
25,2554.6,1108.01,1222,20.1143,359.758,1339.07
25.25,2554.6,1108.01,1222,20.1143,359.758,1339.07
25.5,2554.6,1108.01,1222,20.5166,359.877,1339.05
25.75,2554.6,1108.01,1222,20.5166,359.877,1339.05
26,2554.6,1108.01,1222,20.9189,359.996,1339.03
26.25,2554.6,1108.01,1222,20.9189,359.996,1339.03
26.5,2554.6,1108.01,1222,21.3212,360.115,1339.02
26.75,2554.6,1108.01,1222,21.3212,360.115,1339.02
27,2554.6,1108.01,1222,21.7235,360.233,1339
27.25,2554.6,1108.01,1222,21.7235,360.233,1339
27.5,2554.6,1108.01,1222,22.1258,360.352,1338.98
27.75,2554.6,1108.01,1222,22.1258,360.352,1338.98
28,2554.6,1108.01,1222,22.528,360.471,1338.96
28.25,2554.6,1108.01,1222,22.528,360.471,1338.96
28.5,2554.6,1108.01,1222,22.9303,360.59,1338.94
28.75,2554.6,1108.01,1222,22.9303,360.59,1338.94
29,2554.6,1108.01,1222,23.3326,360.708,1338.92
29.25,2554.6,1108.01,1222,23.3326,360.708,1338.92
29.5,2554.6,1108.01,1222,23.7349,360.827,1338.9
29.75,2554.6,1108.01,1222,23.7349,360.827,1338.9
30,2554.6,1108.01,1222,24.1372,360.946,1338.89
